MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
784.415,314.287,85.0868,6.95559,5.91028,1.796e-05,0.00084274,5.3402,0.00045658,0.014582,0.00018901,0.0074163,0.00016347
894.367,582.969,60.0868,1.81519,-5.93691,6.9575e-06,0.000602,2.766,0.00026313,0.0016808,0.00010411,0.00074301,3.861e-05
151.471,528.764,245.338,8.84667,3.54563,0.070991,0.00039263,0.023426,0.018219,0.0011904,0.0093346,0.00050393,0.0013641
59.0538,668.468,839.959,1.40509,-0.886331,15.805,6.186e-05,9.3635e-05,0.00035764,5.2182e-05,0.00014331,1.8141e-05,0.00071247
945.998,300.937,955.511,7.92192,3.20422,1.3782e-06,0.015834,1.2899e-05,1.3771e-05,0.00011032,4.548e-06,4.0706e-05,7.9532e-05
844.037,155.336,734.109,2.04219,3.39334,3.5456e-06,0.31294,4.615e-05,4.1605e-05,0.00051204,1.417e-05,0.00020746,0.00020256
721.448,360.297,409.185,0.629087,-6.19664,3.4706e-05,0.0092926,0.0092302,0.00021825,0.0013414,8.4898e-05,0.00057125,0.00018776
150.621,195.396,835.009,9.75121,2.41218,0.033826,0.01095,0.000143,0.0003038,0.00026505,0.00011622,0.00010192,0.02611
602.689,489.89,218.797,2.80545,5.50108,8.7576e-05,0.00012384,0.011316,0.00085688,0.0017039,0.00035376,0.00074714,0.00019263
395.658,486.036,696.745,6.15692,5.73111,0.0011555,0.0005356,0.00034242,0.0002579,0.00018204,9.899e-05,6.8865e-05,0.00053505
482.237,575.573,569.575,9.26246,-4.87751,0.00026714,4.013e-05,0.00026577,0.00033229,0.00021863,0.00012617,8.3153e-05,0.00022536
77.7384,819.864,213.211,2.0824,2.25985,1.4429,6.6639e-05,0.028854,0.051391,0.00027122,0.028859,0.00010437,0.0002731
554.075,196.07,533.467,2.85682,2.62863,3.3678e-05,0.004904,0.00029921,0.00027897,0.0014366,0.00010736,0.00062166,0.00095322
465.944,267.192,344.899,11.2825,-6.25705,0.00053817,0.022035,0.011153,0.0010504,0.0034826,0.00043804,0.0015692,0.0011862
192.891,476.449,94.0212,10.8298,0.114747,2.1469e-05,0.0001278,0.26986,0.057782,0.0033435,0.032622,0.0015214,0.0016162
370.439,994.057,945.027,10.6461,-6.19135,0.0019419,5.5671e-06,2.1081e-05,9.3434e-05,1.2398e-05,3.401e-05,4.0491e-06,5.2283e-05
