MH0,MA0,MHC,lam2,lamL,xsec_3535_13TeV,xsec_3636_13TeV,xsec_3737_13TeV,xsec_3537_13TeV,xsec_3637_13TeV,xsec_3735_13TeV,xsec_3736_13TeV,xsec_3536_13TeV
716.299,170.391,2067.27,4.92588,3.91461,1.4446e-05,0.051186,7.7187e-07,8.0113e-07,2.1921e-06,2.4114e-07,7.1697e-07,0.00038745
2451.35,1601.21,1791.51,3.60973,6.0068,3.2068e-10,3.9206e-06,1.5719e-06,2.0603e-08,1.9455e-07,5.6866e-09,5.5967e-08,2.1184e-08
2532.11,635.71,1437.0,0.472177,-0.163374,1.4341e-13,0.020067,4.4556e-05,3.929e-08,7.0867e-06,1.1247e-08,2.2513e-06,1.5284e-07
1649.03,1741.41,2935.87,12.4676,-3.35594,1.236e-08,2.0675e-09,8.5531e-09,8.2888e-09,6.6258e-09,2.2407e-09,1.801e-09,1.2339e-07
1174.9,589.618,363.709,6.56866,-0.783343,1.5246e-08,0.0010275,0.052977,3.7235e-05,0.00049791,1.3105e-05,0.00019861,1.3097e-05
530.494,1213.14,1838.29,4.73741,-2.85508,5.1451e-05,5.2844e-06,1.6681e-06,2.4792e-06,4.689e-07,7.6376e-07,1.3724e-07,1.3554e-05
1326.75,817.605,1560.48,12.0991,2.77746,6.7513e-08,8.9805e-05,1.0313e-06,7.5693e-07,2.955e-06,2.2159e-07,9.1813e-07,3.9706e-06
1109.13,1769.74,2795.75,12.4571,-0.0453436,8.1682e-11,5.2e-07,2.6961e-08,4.1828e-08,8.9981e-09,1.1923e-08,2.4084e-09,4.6776e-07
1269.85,1851.76,1478.94,0.57291,-1.00014,1.2892e-08,2.6369e-07,9.1869e-07,1.1103e-06,2.2733e-07,3.2989e-07,6.5695e-08,2.4592e-07
635.803,1988.29,132.037,9.32136,3.30068,2.233e-05,5.432e-07,0.29301,0.000966,2.9937e-06,0.00040507,9.7898e-07,7.7321e-07
355.637,1473.94,2386.85,2.38004,-0.961664,5.9081e-05,3.5801e-06,2.1698e-07,6.2049e-07,5.4521e-08,1.911e-07,1.5272e-08,8.1552e-06
986.725,1610.35,1042.25,9.49595,6.09306,3.6324e-06,1.503e-06,1.3733e-05,9.1669e-06,1.4003e-06,2.9865e-06,4.1606e-07,1.0295e-06
2406.92,1607.75,1168.25,2.24444,2.82884,9.2105e-11,3.559e-06,0.00025848,1.0446e-07,1.0096e-06,3.033e-08,3.0408e-07,2.3539e-08
2560.45,742.883,1138.59,4.23073,-4.60886,9.6645e-11,0.0079985,0.00053723,7.4161e-08,1.4428e-05,2.1406e-08,4.6455e-06,1.119e-07
2509.12,234.973,673.561,8.17918,2.98004,5.4036e-11,5.7907,0.024532,2.3932e-07,0.00054581,7.0314e-08,0.00021778,3.2115e-07
177.734,221.9,1472.92,3.51869,1.39375,0.0048211,0.0022653,9.5501e-06,1.7614e-05,1.6348e-05,6.001e-06,5.5494e-06,0.015008
1615.81,1259.41,2070.29,10.7489,-1.87815,4.7944e-09,4.8618e-06,1.3312e-07,8.8796e-08,2.1765e-07,2.5125e-08,6.2996e-08,4.8952e-07
2151.66,2202.72,1661.14,8.51056,4.76126,1.1675e-09,2.7733e-09,1.577e-06,6.2979e-08,5.59e-08,1.7808e-08,1.5608e-08,1.0299e-08
